PF3D7_1031200	MORN repeat-containing protein 1
PF3D7_1466300	26S proteasome regulatory subunit RPN2 putative
PF3D7_0214500	conserved Plasmodium protein unknown function
PF3D7_1031300	conserved Plasmodium protein unknown function
PF3D7_0935400	gametocyte development protein 1
PF3D7_0527200	ubiquitin carboxyl-terminal hydrolase 14
PF3D7_1338700	conserved protein unknown function
PF3D7_0309100	conserved Plasmodium protein unknown function
PF3D7_1107800	AP2 domain transcription factor putative
PF3D7_0913400	conserved Plasmodium protein unknown function
PF3D7_1019900	autophagy-related protein 8
PF3D7_1019600	conserved Plasmodium protein unknown function
PF3D7_1419300	glutathione S-transferase
PF3D7_0930000	procollagen lysine 5-dioxygenase putative
PF3D7_1470500	cGMP-specific 3'5'-cyclic phosphodiesterase delta
PF3D7_1328700	Plasmodium RNA of unknown function RUF1
PF3D7_0525900	NIMA related kinase 2
PF3D7_0530800	CPW-WPC family protein
PF3D7_0616200	kinetochore protein NDC80 putative
PF3D7_0307800	conserved Plasmodium protein unknown function
PF3D7_1029800	heptatricopeptide repeat and RAP domain-containing protein putative
PF3D7_0504000	cation transporting P-ATPase
PF3D7_0516000	RAP protein putative
PF3D7_1317100	DNA replication licensing factor MCM4
PF3D7_0423400	apical asparagine-rich protein AARP
PF3D7_1033800	plasmepsin VII
PF3D7_0921000	ubiquitin-conjugating enzyme E2 putative
PF3D7_1118800	actin-related protein 2/3 complex subunit 1 putative
PF3D7_1312100	GYF domain-containing protein putative
PF3D7_0516500	major facilitator superfamily domain-containing protein putative
PF3D7_0205300	conserved Plasmodium protein unknown function
PF3D7_1024400	conserved Plasmodium protein unknown function
PF3D7_1227500	protein SOC2 putative
PF3D7_1211600	lysine-specific histone demethylase 1 putative
PF3D7_1465000	cytochrome c oxidase subunit ApiCOX25 putative
PF3D7_1423300	serine/threonine protein phosphatase 7
PF3D7_1109200	conserved Plasmodium protein unknown function
PF3D7_0704600	E3 ubiquitin-protein ligase
PF3D7_0213100	protein SIS1
PF3D7_0918400	conserved Plasmodium protein unknown function
PF3D7_1447900	multidrug resistance protein 2
PF3D7_0419400	conserved Plasmodium protein unknown function
PF3D7_1439600	cytochrome c oxidase subunit ApiCOX26 putative
PF3D7_0609800	palmitoyltransferase DHHC2 putative
PF3D7_0904300	conserved protein unknown function
PF3D7_0519900	conserved protein unknown function
PF3D7_1125600	conserved protein unknown function
PF3D7_0724600	protein kinase putative
PF3D7_0404700	dipeptidyl aminopeptidase 3
PF3D7_1106200	conserved Plasmodium protein unknown function
PF3D7_0928800	serine/threonine protein kinase putative
PF3D7_1474000	conserved Plasmodium protein unknown function
PF3D7_0528400	palmitoyltransferase DHHC7
PF3D7_0410600	conserved protein unknown function
PF3D7_1451700	calcineurin subunit B
PF3D7_0321200	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase putative
PF3D7_1003800	U5 small nuclear ribonucleoprotein component putative
PF3D7_1129200	26S proteasome regulatory subunit RPN7 putative
PF3D7_0418000	conserved Plasmodium protein unknown function
PF3D7_1406500	WD repeat-containing protein 65 putative
PF3D7_1218500	dynamin-like protein putative
PF3D7_0921200	conserved Plasmodium membrane protein unknown function
PF3D7_1337900	conserved Plasmodium protein unknown function
PF3D7_1230100	thioredoxin-like associated protein 1 putative
PF3D7_1014900	conserved Plasmodium protein unknown function
PF3D7_1128700	GPI-anchor transamidase putative
