name	chr	start	end	height	pval	gene_name	description
chirp_peak_1	Pf3D7_03_v3	387650	388450	172.79082973121191	2.5104451839397748e-12	PF3D7_0309100	conserved Plasmodium protein unknown function
chirp_peak_2	Pf3D7_13_v3	1565900	1566250	170.55854616904378	2.4678795045717704e-19	PF3D7_1338800	CPW-WPC family protein
chirp_peak_3	Pf3D7_14_v3	803000	803200	170.53019003046032	1.0378636399889499e-07	PF3D7_1419300	glutathione S-transferase
chirp_peak_4	Pf3D7_07_v3	1000050	1000800	168.29790646829218	5.688904161858184e-15	PF3D7_0723800	conserved Plasmodium protein unknown function
chirp_peak_5	Pf3D7_03_v3	872600	873100	167.43093534704118	7.981534558903655e-17	PF3D7_0320800	ATP-dependent RNA helicase DDX6
chirp_peak_6	Pf3D7_13_v3	1213550	1214000	167.09669627145777	6.623954434143758e-23	PF3D7_1328700	Plasmodium RNA of unknown function RUF1
chirp_peak_7	Pf3D7_03_v3	318250	318650	163.24389502112143	1.1427807953832658e-15	PF3D7_0307300	microtubule-associated protein RP/EB family putative
chirp_peak_8	Pf3D7_10_v3	769550	769950	163.215538882538	1.8199349816536562e-12	PF3D7_1019100	conserved Plasmodium protein unknown function
chirp_peak_9	Pf3D7_07_v3	453200	453500	162.09939710145392	2.983471408094547e-14	PF3D7_0710000	conserved Plasmodium protein unknown function
chirp_peak_10	Pf3D7_10_v3	1279500	1280000	157.52140542278386	8.969808236762327e-16	PF3D7_1031600	conserved Plasmodium protein unknown function
chirp_peak_11	Pf3D7_03_v3	690000	690150	157.52140542278386	3.1288280542581996e-12	PF3D7_0317200	cdc2-related protein kinase 4
chirp_peak_12	Pf3D7_09_v3	756750	757100	156.43361978028324	2.5380437003797947e-16	PF3D7_0918400	conserved Plasmodium protein unknown function
chirp_peak_13	Pf3D7_04_v3	1056100	1056450	155.92924387319908	6.830485466599129e-27	PF3D7_0423400	apical asparagine-rich protein AARP
chirp_peak_14	Pf3D7_03_v3	339400	339500	153.391077374031	6.651109232334521e-06	PF3D7_0307800	conserved Plasmodium protein unknown function
chirp_peak_15	Pf3D7_09_v3	757450	757800	152.21822331578005	1.4624364342062453e-12	PF3D7_0918400	conserved Plasmodium protein unknown function
chirp_peak_16	Pf3D7_10_v3	1214400	1214700	150.3201788291953	1.2423260748430352e-12	PF3D7_1029800	heptatricopeptide repeat and RAP domain-containing protein putative
chirp_peak_17	Pf3D7_11_v3	1116200	1117250	149.062256355194	3.213105294690658e-20	PF3D7_1128700	GPI-anchor transamidase putative
chirp_peak_18	Pf3D7_08_v3	1236550	1237100	148.69966114102712	6.927026634929731e-15	PF3D7_0828700	conserved protein unknown function
chirp_peak_19	Pf3D7_08_v3	101100	101350	147.91775843552648	1.19692766174902e-09	PF3D7_0801300	von Willebrand factor A domain-related protein
chirp_peak_20	Pf3D7_03_v3	659900	660250	146.85832893160932	8.518249217587247e-12	PF3D7_0316300	inorganic pyrophosphatase inorganic pyrophosphatase putative
chirp_peak_21	Pf3D7_13_v3	535950	536400	145.43630421352526	7.916486618416675e-11	PF3D7_1312800	conserved Plasmodium protein unknown function
chirp_peak_22	Pf3D7_08_v3	204550	205000	144.17838173952396	2.1846039851524582e-11	PF3D7_0803200	filament assembling protein putative
chirp_peak_23	Pf3D7_07_v3	1108150	1108450	143.87249880252398	2.731794722375687e-18	PF3D7_0726300	DNA mismatch repair protein PMS1 putative
chirp_peak_24	Pf3D7_08_v3	987050	988000	142.61457632852265	5.087674151050292e-21	PF3D7_0822200	phosphorylated CTD interacting factor 1 WW domain-containing protein putative
chirp_peak_25	Pf3D7_05_v3	164950	165500	142.36540566868956	5.262755256809756e-08	PF3D7_0504000	cation transporting P-ATPase
chirp_peak_26	Pf3D7_14_v3	1588550	1588850	142.33704953010613	5.969907107926096e-11	PF3D7_1439100	DEAD/DEAH box helicase putative
chirp_peak_27	Pf3D7_09_v3	229150	229350	140.41064890493797	1.3944684007568024e-07	PF3D7_0904900	copper-transporting ATPase
chirp_peak_28	Pf3D7_04_v3	344050	344350	140.3822927663545	1.0520731050674648e-11	PF3D7_0406500	NYN domain-containing protein putative
chirp_peak_29	Pf3D7_03_v3	790700	790950	139.96298527502074	4.819486962780113e-10	PF3D7_0318800	triosephosphate isomerase putative
chirp_peak_30	Pf3D7_06_v3	222600	222850	139.62874619943733	1.162623396511325e-11	PF3D7_0605300	serine/threonine protein kinase
chirp_peak_31	Pf3D7_08_v3	1220400	1220850	138.56931669552017	2.5863731630005568e-14	PF3D7_0828200	leucine--tRNA ligase putative
chirp_peak_32	Pf3D7_14_v3	3180550	3180850	138.09329692701948	5.824767510569355e-09	PF3D7_1477300	Plasmodium exported protein (PHIST) unknown function
chirp_peak_33	Pf3D7_05_v3	1314100	1314500	137.81577012860296	5.697580428749041e-22	PF3D7_0532400	lysine-rich membrane-associated PHISTb protein
chirp_peak_34	Pf3D7_07_v3	1108800	1109100	137.6739894356857	1.1841763266021578e-10	PF3D7_0726400	conserved Plasmodium membrane protein unknown function
chirp_peak_35	Pf3D7_05_v3	113900	114250	136.9771551459354	4.67293486774176e-13	PF3D7_0502500	conserved Plasmodium protein unknown function
chirp_peak_36	Pf3D7_14_v3	906150	907050	135.44170587351758	1.115910416089267e-16	PF3D7_1422500	ERAD-associated E3 ubiquitin-protein ligase HRD1
chirp_peak_37	Pf3D7_14_v3	2442950	2443050	135.44170587351758	6.774488988018053e-07	PF3D7_1459600	conserved Plasmodium protein unknown function
chirp_peak_38	Pf3D7_06_v3	1312650	1313200	134.609125478268	1.1829917712026055e-17	PF3D7_0631200	erythrocyte membrane protein 1 (PfEMP1) pseudogene
chirp_peak_39	Pf3D7_05_v3	760350	760700	134.41063250818385	1.5170719179054034e-10	PF3D7_0518300	proteasome subunit beta type-1 putative
chirp_peak_40	Pf3D7_05_v3	773400	773650	133.9346127396832	5.3465088298990033e-17	PF3D7_0518600	WD repeat-containing protein 26 putative
chirp_peak_41	Pf3D7_08_v3	203900	204300	133.48694910976596	2.1254961744298724e-20	PF3D7_0803200	filament assembling protein putative
chirp_peak_42	Pf3D7_11_v3	262600	263400	133.4585929711825	2.3096279123225543e-13	PF3D7_1106200	conserved Plasmodium protein unknown function
chirp_peak_43	Pf3D7_05_v3	685800	686750	133.09599775701562	5.385168509869873e-16	PF3D7_0516500	major facilitator superfamily domain-containing protein putative
chirp_peak_44	Pf3D7_04_v3	268400	269050	133.03928547984873	7.4336581333721e-15	PF3D7_0405000	ATP-dependent RNA helicase DDX51 putative
chirp_peak_45	Pf3D7_12_v3	1958300	1959250	130.50111898068062	2.701774141848788e-17	PF3D7_1247500	serine/threonine protein kinase putative
chirp_peak_46	Pf3D7_13_v3	2462800	2464100	130.47276284209715	3.271802186586497e-11	PF3D7_1361300	conserved Plasmodium protein unknown function
chirp_peak_47	Pf3D7_09_v3	862350	863050	128.76717673817862	3.53828794710908e-16	PF3D7_0921200	conserved Plasmodium membrane protein unknown function
chirp_peak_48	Pf3D7_05_v3	337750	338300	128.68814290984625	6.679612496363326e-15	PF3D7_0508200	longevity-assurance (LAG1) protein putative
chirp_peak_49	Pf3D7_09_v3	298450	298750	128.18376700276212	1.2080582647167862e-15	PF3D7_0906000	exoribonuclease II
chirp_peak_50	Pf3D7_10_v3	808100	808600	127.90624020434561	5.628598374866856e-16	PF3D7_1019900	autophagy-related protein 8
chirp_peak_51	Pf3D7_05_v3	1238200	1238500	127.45857657442838	5.910774576697541e-11	PF3D7_0530300	conserved Plasmodium membrane protein unknown function
chirp_peak_52	Pf3D7_13_v3	1279150	1279950	127.26008360434423	6.594682754091121e-13	PF3D7_1330400	ER lumen protein retaining receptor 1 putative unspecified product
chirp_peak_53	Pf3D7_02_v3	220850	221550	127.09598136026152	8.967678833950499e-12	PF3D7_0205300	conserved Plasmodium protein unknown function
chirp_peak_54	Pf3D7_03_v3	562250	562600	126.31407865476086	1.2208250401819307e-11	PF3D7_0313900	conserved Plasmodium protein unknown function
chirp_peak_55	Pf3D7_02_v3	516050	516200	125.92312730201054	8.195670444963248e-10	PF3D7_0212500	conserved Plasmodium protein unknown function
chirp_peak_56	Pf3D7_08_v3	385150	385600	125.61724436501056	1.083721898435187e-13	PF3D7_0807400	coenzyme Q-binding protein COQ10 homolog mitochondrial
chirp_peak_57	Pf3D7_14_v3	3248550	3248800	125.47546367209333	9.602930818100948e-12	PF3D7_1478900	unspecified product
chirp_peak_58	Pf3D7_12_v3	1162850	1163850	125.11286845792645	8.177816241409496e-18	PF3D7_1228600	merozoite surface protein 9
chirp_peak_59	Pf3D7_12_v3	705550	706400	124.77862938234303	1.1320568973678284e-12	PF3D7_1218100	conserved Plasmodium protein unknown function
chirp_peak_60	Pf3D7_14_v3	1639500	1639900	124.35932189100924	4.038007571416137e-16	PF3D7_1440200	stromal-processing peptidase putative
chirp_peak_61	Pf3D7_14_v3	2392050	2392350	124.35932189100924	3.571687743489665e-14	PF3D7_1458300	conserved Plasmodium protein unknown function
chirp_peak_62	Pf3D7_12_v3	1242000	1242300	124.3309657524258	1.6976188587115387e-07	PF3D7_1230100	thioredoxin-like associated protein 1 putative
chirp_peak_63	Pf3D7_04_v3	498050	498450	124.08179509259273	1.4200513337963516e-11	PF3D7_0411000	conserved Plasmodium protein unknown function
chirp_peak_64	Pf3D7_12_v3	915900	916850	124.02508281542583	6.889551144325621e-17	PF3D7_1222600	AP2 domain transcription factor AP2-G
chirp_peak_65	Pf3D7_04_v3	207100	207300	123.69084373984239	1.0541905461689394e-18	PF3D7_0403700	pre-mRNA-splicing factor CLF1 putative
chirp_peak_66	Pf3D7_13_v3	2620600	2620800	123.63413146267551	6.681106711646924e-12	PF3D7_1365500	aminomethyltransferase mitochondrial putative
chirp_peak_67	Pf3D7_14_v3	3069700	3070100	123.60577532409206	8.581401114172878e-19	PF3D7_1474800	proteasome subunit alpha type-1 putative
chirp_peak_68	Pf3D7_06_v3	598050	598250	123.35660466425898	6.111454682612478e-12	PF3D7_0614300	major facilitator superfamily-related transporter putative
chirp_peak_69	Pf3D7_05_v3	827500	827900	123.29989238709209	3.940111034008695e-21	PF3D7_0519900	conserved protein unknown function
chirp_peak_70	Pf3D7_05_v3	1173150	1173600	122.8805848957583	6.261398211974867e-22	PF3D7_0528400	palmitoyltransferase DHHC7
chirp_peak_71	Pf3D7_08_v3	502000	502400	122.48963354300798	2.7814091709261494e-17	PF3D7_0809800	conserved Plasmodium protein unknown function
chirp_peak_72	Pf3D7_01_v3	159350	160250	122.09868219025765	5.690280089867137e-13	PF3D7_0103500	conserved Plasmodium protein unknown function
chirp_peak_73	Pf3D7_09_v3	1191350	1191600	121.73608697609077	5.641842281383021e-14	PF3D7_0930000	procollagen lysine 5-dioxygenase putative
chirp_peak_74	Pf3D7_14_v3	1619350	1619500	121.70773083750734	3.6869230374663047e-09	PF3D7_1439800	vesicle-associated membrane protein putative
chirp_peak_75	Pf3D7_10_v3	914950	915900	121.65101856034045	1.926477065370181e-15	PF3D7_1021900	PHAX domain-containing protein putative
chirp_peak_76	Pf3D7_14_v3	84850	85000	120.9825404091736	8.117418777621279e-11	PF3D7_1402200	cytochrome c oxidase subunit ApiCOX19 putative
chirp_peak_77	Pf3D7_11_v3	969250	969550	120.53487677925636	4.264657731338053e-10	PF3D7_1124500	pyruvate dehydrogenase E1 component subunit alpha
chirp_peak_78	Pf3D7_06_v3	463450	463800	120.20063770367295	2.7694358663891407e-12	PF3D7_0611000	SNARE associated Golgi protein putative
chirp_peak_79	Pf3D7_12_v3	1130850	1131100	119.89475476667297	1.2817415212411536e-09	PF3D7_1227700	conserved Plasmodium protein unknown function
chirp_peak_80	Pf3D7_11_v3	699450	699700	119.50380341392265	8.55867421593519e-16	PF3D7_1118400	haloacid dehalogenase-like hydrolase putative
chirp_peak_81	Pf3D7_05_v3	1132450	1132850	119.4187349981723	2.0994972275531254e-06	PF3D7_0527200	ubiquitin carboxyl-terminal hydrolase 14
chirp_peak_82	Pf3D7_04_v3	928100	928800	119.11285206117233	6.532931927258445e-23	PF3D7_0420300	AP2 domain transcription factor putative
chirp_peak_83	Pf3D7_01_v3	106750	107200	119.05613978400542	5.957063567954254e-15	PF3D7_0102400	lysophospholipase putative pseudogene
chirp_peak_84	Pf3D7_06_v3	53650	54000	118.9487498170896	2.6651558314361327e-08	PF3D7_0601400	erythrocyte membrane protein 1 (PfEMP1) pseudogene
chirp_peak_85	Pf3D7_06_v3	903150	903450	118.6651884312551	8.878890982525753e-13	PF3D7_0622200	radical SAM protein putative
chirp_peak_86	Pf3D7_12_v3	3800	4450	118.6651884312551	3.3442068203830216e-11	PF3D7_1200100	erythrocyte membrane protein 1 PfEMP1
chirp_peak_87	Pf3D7_03_v3	446600	446850	117.91164186433791	2.322513921575853e-16	PF3D7_0310300	phosphoglycerate mutase putative
chirp_peak_88	Pf3D7_13_v3	1415500	1416350	117.854929587171	4.583172839592641e-12	PF3D7_1335000	MSP7-like protein
chirp_peak_89	Pf3D7_05_v3	1256150	1256400	117.82657344858755	9.290926959267596e-12	PF3D7_0530800	CPW-WPC family protein
chirp_peak_90	Pf3D7_09_v3	1223200	1224100	117.12973915883725	2.661953167578128e-18	PF3D7_0930700	conserved Plasmodium protein unknown function
chirp_peak_91	Pf3D7_05_v3	658100	658400	117.12973915883725	1.8763137835531482e-17	PF3D7_0515800	BolA-like protein putative
chirp_peak_92	Pf3D7_14_v3	75400	75750	117.12973915883725	2.1853864223667003e-15	PF3D7_1401900	conserved protein unknown function
chirp_peak_93	Pf3D7_14_v3	986050	986450	116.79550008325384	2.4945124462256538e-14	PF3D7_1425300	conserved Plasmodium protein unknown function
chirp_peak_94	Pf3D7_08_v3	898100	898300	116.79550008325384	1.124378445663233e-13	PF3D7_0819800	conserved Plasmodium protein unknown function
chirp_peak_95	Pf3D7_13_v3	1710550	1711150	116.71043166750349	6.983558630122829e-15	PF3D7_1343300	CDT1-like protein putative
chirp_peak_96	Pf3D7_04_v3	136900	137800	116.4612610076704	3.6799739440953553e-19	PF3D7_0402300	reticulocyte binding protein homologue 1
chirp_peak_97	Pf3D7_10_v3	1152550	1153300	116.37619259192007	1.9562027559036184e-25	PF3D7_1027800	60S ribosomal protein L3
chirp_peak_98	Pf3D7_14_v3	1977450	1977700	116.37619259192007	2.184235859191943e-11	PF3D7_1448300	conserved protein unknown function
chirp_peak_99	Pf3D7_14_v3	3249250	3249650	116.0703096549201	5.056825033691304e-09	PF3D7_1478900	unspecified product
chirp_peak_100	Pf3D7_06_v3	858700	858950	116.0135973777532	5.339927681391981e-22	PF3D7_0620700	DnaJ protein putative
chirp_peak_101	Pf3D7_09_v3	680700	680800	115.87181668483593	3.0740037601683065e-10	PF3D7_0916300	conserved Plasmodium protein unknown function
chirp_peak_102	Pf3D7_13_v3	516850	517050	114.47814810533535	2.8913466122538412e-15	PF3D7_1312100	GYF domain-containing protein putative
chirp_peak_103	Pf3D7_12_v3	2015700	2015900	114.42143582816846	3.2037377153654957e-13	PF3D7_1249300	protein phosphatase PPM4 putative
chirp_peak_104	Pf3D7_05_v3	614600	615400	114.3363674124181	1.871191222836394e-19	PF3D7_0514700	MORN repeat protein putative
chirp_peak_105	Pf3D7_03_v3	646900	647200	114.30801127383464	2.3012301174633197e-21	PF3D7_0316000	microneme associated antigen
chirp_peak_106	Pf3D7_11_v3	4350	5250	114.20062130691883	1.8993469817362716e-17	PF3D7_1100100	erythrocyte membrane protein 1 PfEMP1
chirp_peak_107	Pf3D7_04_v3	1097600	1097800	114.11555289116848	5.709249218334002e-13	PF3D7_0424300	erythrocyte binding antigen-165 pseudogene
chirp_peak_108	Pf3D7_14_v3	1954150	1954450	114.08719675258504	1.87000465720285e-15	PF3D7_1447900	multidrug resistance protein 2
chirp_peak_109	Pf3D7_07_v3	1026200	1027000	113.24858176991748	1.0347553251491725e-25	PF3D7_0724600	protein kinase putative
chirp_peak_110	Pf3D7_08_v3	502700	502950	112.69352817308445	1.462415112493393e-12	PF3D7_0809800	conserved Plasmodium protein unknown function
chirp_peak_111	Pf3D7_10_v3	1353150	1353550	112.46667906441684	1.1749323846402336e-19	PF3D7_1033800	plasmepsin VII
chirp_peak_112	Pf3D7_14_v3	2121050	2121600	112.33093295891757	1.8576731900990401e-13	PF3D7_1451700	calcineurin subunit B
chirp_peak_113	Pf3D7_12_v3	1930500	1931450	112.16079612741686	5.992210838260761e-24	PF3D7_1246400	myosin A tail domain interacting protein
chirp_peak_114	Pf3D7_04_v3	787000	787150	112.10408385024996	8.969419970573056e-16	PF3D7_0417800	cdc2-related protein kinase 1
chirp_peak_115	Pf3D7_11_v3	373100	373500	111.85491319041688	1.5406906655653445e-11	PF3D7_1108700	heat shock protein J2
chirp_peak_116	Pf3D7_12_v3	227050	227700	111.82655705183345	4.5351873967678526e-18	PF3D7_1205200	HAD domain ookinete protein putative
chirp_peak_117	Pf3D7_13_v3	2539050	2539400	111.76984477466652	4.4517914910891973e-13	PF3D7_1363100	conserved Plasmodium protein unknown function
chirp_peak_118	Pf3D7_08_v3	151400	151800	111.40724956049966	1.4397387469747543e-10	PF3D7_0802100	AP2 domain transcription factor putative
chirp_peak_119	Pf3D7_08_v3	142900	143150	111.1580789006666	4.028811601167117e-14	PF3D7_0801900	lysine-specific histone demethylase putative
chirp_peak_120	Pf3D7_13_v3	1218400	1218800	111.07301048491624	8.006941600282507e-14	PF3D7_1329000	DNA-directed RNA polymerase III subunit RPC1 putative
chirp_peak_121	Pf3D7_13_v3	2916800	2917500	111.04465434633279	9.557469539227073e-19	PF3D7_1373500	erythrocyte membrane protein 1 PfEMP1
chirp_peak_122	Pf3D7_05_v3	1198200	1198550	111.04465434633279	3.35991388249381e-08	PF3D7_0529400	conserved Plasmodium protein unknown function
chirp_peak_123	Pf3D7_02_v3	637800	638600	110.87451751483209	4.381931378973864e-17	PF3D7_0215400	conserved Plasmodium protein unknown function
chirp_peak_124	Pf3D7_13_v3	1124950	1125200	110.56863457783213	5.550960845220833e-20	PF3D7_1326700	conserved Apicomplexan protein unknown function
chirp_peak_125	Pf3D7_14_v3	678900	679250	110.26275164083214	4.055308129801732e-20	PF3D7_1416600	conserved Plasmodium protein unknown function
chirp_peak_126	Pf3D7_13_v3	1292200	1292900	110.2343955022487	5.374355240268159e-11	PF3D7_1330700	GPI transamidase subunit PIG-U putative
chirp_peak_127	Pf3D7_02_v3	276550	276650	110.2343955022487	2.2721540847863945e-08	PF3D7_0206900	merozoite surface protein 5
chirp_peak_128	Pf3D7_07_v3	907200	907550	110.1209709479149	4.365209510117927e-15	PF3D7_0721000	conserved Plasmodium membrane protein unknown function
chirp_peak_129	Pf3D7_07_v3	215950	216400	110.01358098099908	2.516637829722222e-13	PF3D7_0704600	E3 ubiquitin-protein ligase
chirp_peak_130	Pf3D7_05_v3	1075650	1075850	109.95686870383219	9.523840293142722e-14	PF3D7_0525900	NIMA related kinase 2
chirp_peak_131	Pf3D7_13_v3	954450	954550	109.95686870383219	1.9370487775946163e-06	PF3D7_1322500	palmitoyltransferase DHHC5
chirp_peak_132	Pf3D7_11_v3	1757100	1757700	109.20332213691498	2.156126148324738e-11	PF3D7_1144200	conserved Plasmodium protein unknown function
chirp_peak_133	Pf3D7_14_v3	559400	559800	109.14660985974808	2.0780586353536273e-19	PF3D7_1414100	zinc finger protein putative
chirp_peak_134	Pf3D7_05_v3	644700	645650	108.47813170858124	6.828935532379341e-20	PF3D7_0515500	amino acid transporter putative
chirp_peak_135	Pf3D7_14_v3	312950	313300	108.33635101566398	1.1842467812146546e-13	PF3D7_1408300	conserved Plasmodium protein unknown function
chirp_peak_136	Pf3D7_14_v3	934350	935100	108.08718035583092	2.9180974740206056e-12	PF3D7_1423200	peptidyl-prolyl cis-trans isomerase
chirp_peak_137	Pf3D7_13_v3	718050	718500	107.24856537316336	1.0941776126426007e-18	PF3D7_1317100	DNA replication licensing factor MCM4
chirp_peak_138	Pf3D7_13_v3	1772500	1772850	107.24856537316336	1.866158737526234e-17	PF3D7_1344200	heat shock protein 110 putative
chirp_peak_139	Pf3D7_03_v3	970300	970650	107.24856537316336	2.237610682304238e-17	PF3D7_0323100	conserved Plasmodium protein unknown function
chirp_peak_140	Pf3D7_11_v3	1740300	1741100	106.85761402041305	7.268148921086587e-17	PF3D7_1143600	conserved Plasmodium protein unknown function
chirp_peak_141	Pf3D7_14_v3	1111650	1111850	106.68747718891234	4.903327887632185e-09	PF3D7_1428400	WD and tetratricopeptide repeats protein 1 putative
chirp_peak_142	Pf3D7_04_v3	480300	480650	106.60844336057997	7.405210836537427e-18	PF3D7_0410600	conserved protein unknown function
chirp_peak_143	Pf3D7_08_v3	1062000	1062300	106.49501880624618	6.775398229315665e-13	PF3D7_0824400	nucleoside transporter 2
chirp_peak_144	Pf3D7_13_v3	2652200	2652500	106.21749200782965	5.306314657775034e-16	PF3D7_1366300	conserved Plasmodium protein unknown function
chirp_peak_145	Pf3D7_13_v3	1005300	1005450	106.04735517632895	3.328012763613275e-06	PF3D7_1324300	conserved Plasmodium membrane protein unknown function
chirp_peak_146	Pf3D7_12_v3	740300	741000	105.71311610074554	3.7588279593911536e-10	PF3D7_1218900	WD repeat-containing protein putative
chirp_peak_147	Pf3D7_01_v3	481500	481800	105.68475996216208	3.673371804826167e-15	PF3D7_0112800	Plasmodium exported protein (hyp11) unknown function
chirp_peak_148	Pf3D7_06_v3	303400	303800	105.68475996216208	2.0484142329988457e-13	PF3D7_0607200	RING zinc finger protein putative
chirp_peak_149	Pf3D7_14_v3	65550	65700	105.65640382357861	4.77700758164062e-14	PF3D7_1401700	conserved Plasmodium protein unknown function
chirp_peak_150	Pf3D7_10_v3	177050	177400	105.54901385666281	9.231268089885654e-18	PF3D7_1003900	conserved Plasmodium protein unknown function
chirp_peak_151	Pf3D7_03_v3	339700	340050	105.46394544091245	1.890881470205073e-15	PF3D7_0307900	conserved Plasmodium protein unknown function
chirp_peak_152	Pf3D7_01_v3	265950	266100	105.3788770251621	1.3138463799874041e-14	PF3D7_0106300	calcium-transporting ATPase
chirp_peak_153	Pf3D7_09_v3	129700	129850	105.26545247082831	3.4245972891296803e-08	PF3D7_0903000	conserved protein unknown function
chirp_peak_154	Pf3D7_13_v3	298800	299150	105.01628181099522	3.6771786828830063e-17	PF3D7_1306400	26S protease regulatory subunit 10B putative
chirp_peak_155	Pf3D7_06_v3	586400	587050	104.78943270232762	5.675490450772635e-12	PF3D7_0614000	thiamine-phosphate synthase putative
chirp_peak_156	Pf3D7_03_v3	659200	659550	104.76711115116215	3.2781499767803804e-17	PF3D7_0316300	inorganic pyrophosphatase inorganic pyrophosphatase putative
chirp_peak_157	Pf3D7_13_v3	1758000	1758700	104.56861818107801	2.1173582306679547e-18	PF3D7_1343900	U4/U6 small nuclear ribonucleoprotein PRP4 putative
chirp_peak_158	Pf3D7_09_v3	581250	581400	104.5119059039111	1.7701849369392028e-08	PF3D7_0913400	conserved Plasmodium protein unknown function
chirp_peak_159	Pf3D7_06_v3	364050	364350	104.20602296691112	2.1846536705550837e-12	PF3D7_0608800	ornithine aminotransferase
chirp_peak_160	Pf3D7_08_v3	150750	151100	104.01356458424496	5.925363706242037e-11	PF3D7_0802000	glutamate dehydrogenase putative
chirp_peak_161	Pf3D7_13_v3	1566800	1567100	103.95685230707807	7.825807116344671e-18	PF3D7_1338800	CPW-WPC family protein
chirp_peak_162	Pf3D7_14_v3	1535250	1535700	103.39576412282705	3.52341136992838e-08	PF3D7_1437900	HSP40 subfamily A
chirp_peak_163	Pf3D7_04_v3	1196400	1196650	103.36740798424358	6.975991014791702e-07	PF3D7_0426000	erythrocyte membrane protein 1 PfEMP1
chirp_peak_164	Pf3D7_04_v3	616250	616950	103.33905184566014	2.957786273496353e-18	PF3D7_0413600	26S protease regulatory subunit 6B putative
chirp_peak_165	Pf3D7_09_v3	439550	440000	103.28233956849323	8.096197474832601e-18	PF3D7_0909700	FHA domain protein putative
chirp_peak_166	Pf3D7_14_v3	234400	234600	103.23166187874432	1.2928573649512017e-17	PF3D7_1406500	WD repeat-containing protein 65 putative
chirp_peak_167	Pf3D7_04_v3	269300	269450	102.94810049290982	5.559916102434004e-07	PF3D7_0405000	ATP-dependent RNA helicase DDX51 putative
chirp_peak_168	Pf3D7_06_v3	221950	222300	102.69892983307673	3.9794180133725753e-19	PF3D7_0605200	conserved protein unknown function
chirp_peak_169	Pf3D7_09_v3	580500	580850	102.33633461890986	4.783513569734769e-13	PF3D7_0913400	conserved Plasmodium protein unknown function
chirp_peak_170	Pf3D7_14_v3	529150	529400	102.30797848032641	1.0246870505359827e-06	PF3D7_1413100	conserved Plasmodium protein unknown function
chirp_peak_171	Pf3D7_14_v3	70600	70950	102.27962234174296	3.884206258097165e-15	PF3D7_1401800	choline kinase
