name	chr	start	end	height	pval	gene_name	description
chirp_peak_1	Pf3D7_10_v3	1220700	1222130	859.8985546594192	2.271407266378414e-15	PF3D7_1029900	conserved Plasmodium protein unknown function
chirp_peak_2	Pf3D7_14_v3	3148340	3151720	700.0109235886327	1.9235728568526183e-62	PF3D7_1476500	probable protein unknown function
chirp_peak_3	Pf3D7_10_v3	705640	707330	611.9912462799532	1.1422792877067606e-40	PF3D7_1017600	conserved Plasmodium protein unknown function
chirp_peak_4	Pf3D7_10_v3	1373840	1374880	594.7876161252781	3.1952379214060214e-31	PF3D7_1034500	conserved Plasmodium protein unknown function
chirp_peak_5	Pf3D7_10_v3	1129440	1129960	523.4217086988565	1.667779659930547e-24	PF3D7_1027000	conserved Plasmodium protein unknown function
chirp_peak_6	Pf3D7_02_v3	612040	612560	519.9379501248627	1.4124844218251174e-32	PF3D7_0214900	rhoptry neck protein 6
chirp_peak_7	Pf3D7_14_v3	1312220	1313390	516.9084239498222	4.129169752371714e-45	PF3D7_1433400	zinc finger protein putative
chirp_peak_8	Pf3D7_12_v3	148720	149760	506.4093342911091	1.1464487432181903e-08	PF3D7_1202600	conserved protein unknown function
chirp_peak_9	Pf3D7_03_v3	546780	547820	496.2927561262513	4.245981396051742e-09	PF3D7_0313400	conserved Plasmodium protein unknown function
chirp_peak_10	Pf3D7_06_v3	439790	440830	465.5366031694566	7.052928735280602e-51	PF3D7_0610200	RNA-binding protein 25 putative
chirp_peak_11	Pf3D7_10_v3	738920	740480	448.61985663517305	3.0177731708685013e-21	PF3D7_1018600	tRNA wybutosine-synthesizing protein putative
chirp_peak_12	Pf3D7_14_v3	273780	274170	414.57120085131226	2.900793427836144e-28	PF3D7_1407600	conserved Plasmodium protein unknown function
chirp_peak_13	Pf3D7_12_v3	2032810	2033200	400.97086411246073	2.6815359183525634e-13	PF3D7_1249800	THO complex subunit 2 putative
chirp_peak_14	Pf3D7_11_v3	1804010	1804920	400.82742230226495	4.412174892433179e-08	PF3D7_1145400	dynamin-like protein
chirp_peak_15	Pf3D7_04_v3	725660	726700	363.70142640663175	4.685057355446412e-89	PF3D7_0416600	prohibitin-like protein PHBL putative
chirp_peak_16	Pf3D7_03_v3	519090	519350	309.1566376410299	4.600476181365172e-06	PF3D7_0312200	tetratricopeptide repeat protein putative
chirp_peak_17	Pf3D7_10_v3	768820	769990	305.84022784559784	6.304865234576213e-17	PF3D7_1019100	conserved Plasmodium protein unknown function
chirp_peak_18	Pf3D7_13_v3	231010	231530	299.06396644453804	2.266372062836661e-39	PF3D7_1304300	conserved Plasmodium protein unknown function
chirp_peak_19	Pf3D7_07_v3	686530	687050	295.72364968074004	7.557132496495862e-31	PF3D7_0715300	calcium/calmodulin-dependent protein kinase putative
chirp_peak_20	Pf3D7_08_v3	1182870	1183130	285.43972273732055	2.351840068231909e-07	PF3D7_0827300	conserved Plasmodium protein unknown function
chirp_peak_21	Pf3D7_05_v3	405340	405990	278.9025310199204	1.7840128501541897e-51	PF3D7_0509600	asparagine--tRNA ligase
chirp_peak_22	Pf3D7_09_v3	1157130	1158040	271.9589208402988	1.901818700179645e-42	PF3D7_0928800	serine/threonine protein kinase putative
chirp_peak_23	Pf3D7_06_v3	438620	439010	265.182659439239	2.5479573919237232e-12	PF3D7_0610200	RNA-binding protein 25 putative
chirp_peak_24	Pf3D7_10_v3	110500	111930	248.2898198733214	3.4336892894256906e-61	PF3D7_1002200	tryptophan-rich antigen 3
chirp_peak_25	Pf3D7_07_v3	855530	856570	248.12247109475967	2.4131407532707717e-45	PF3D7_0719500	LEM3/CDC50 family protein putative
chirp_peak_26	Pf3D7_06_v3	784680	784940	244.7104334258638	3.801609931637817e-08	PF3D7_0618900	phosphatidylinositol N-acetylglucosaminyltransferase subunit GPI1
chirp_peak_27	Pf3D7_04_v3	993070	993460	220.94570458542256	6.714483390916183e-36	PF3D7_0421700	conserved Plasmodium protein unknown function
chirp_peak_28	Pf3D7_03_v3	347750	348140	217.46194601142884	3.5232427497816176e-07	PF3D7_0307900	conserved Plasmodium protein unknown function
chirp_peak_29	Pf3D7_14_v3	2314390	2314780	204.05286501950496	9.139004068602167e-17	PF3D7_1456500	conserved Plasmodium protein unknown function
chirp_peak_30	Pf3D7_08_v3	884650	885040	187.0883045484895	3.7370925968796486e-44	PF3D7_0819600	conserved protein unknown function
chirp_peak_31	Pf3D7_10_v3	448890	449280	180.14469436886796	5.293497331316911e-13	PF3D7_1011700	DNA repair protein RAD23 putative
chirp_peak_32	Pf3D7_06_v3	1240200	1240460	173.32061903107623	1.8965620294093005e-07	PF3D7_0629700	SET domain protein putative
chirp_peak_33	Pf3D7_14_v3	2705300	2705560	173.20108418924644	6.811031104650572e-06	PF3D7_1466200	early gametocyte enriched phosphoprotein EGXP
chirp_peak_34	Pf3D7_14_v3	1667770	1668160	166.6160785351143	6.017985542893435e-13	PF3D7_1440800	major facilitator superfamily domain-containing protein putative
chirp_peak_35	Pf3D7_01_v3	594100	594490	163.39529661314612	1.1671304929911791e-20	PF3D7_0115300	rifin
chirp_peak_36	Pf3D7_12_v3	1866670	1867320	163.20404086621846	4.076538692681223e-18	PF3D7_1244500	conserved Plasmodium protein unknown function
chirp_peak_37	Pf3D7_07_v3	338130	338520	163.1801338978525	4.955666345699767e-21	PF3D7_0707300	rhoptry-associated membrane antigen
chirp_peak_38	Pf3D7_02_v3	350090	351260	156.40387249679267	3.678161424699846e-13	PF3D7_0208400	conserved Plasmodium protein unknown function
chirp_peak_39	Pf3D7_09_v3	610220	611000	139.36759112067932	1.393230941721764e-10	PF3D7_0914200	phospholipid or glycerol acyltransferase putative
